,Topic 1,,,Topic 2,,,Topic 3,,,topic 4,,,topic 5,,,Topic 6,,,Topic 7,,,Topic 8,,,topic 9,,,Topic 10,,,Topic 11,,,Topic 12,,,Topic 13,,,Topic 14,,,Topic 15,,,Topic 16,,,Topic 17,,,Topic 18,,,Topic 19,,,Topic 20,,,Topic 21,,,Topic 22,,,Topic 23,,,Topic 24,,,Topic 25,,,Topic 26,,,Topic 27,,,Topic 28,,,Topic 29,,,topic 30,,,Topic 31,,,Topic 32,,,Topic 33,,,Topic 34,,,Topic 35,,,Topic 36,,,Topic 37,,,Topic 38,,,Topic 39,,,topic 40,,
,Economic Forecast,,,Company performance,,,Policy,,,global critical thinking,,,Council projects,,,FTSE,,,Politics/MPs,,,Preferences?,,,Investment,,,Fiscal Policy,,,Scottish Independence,,,Companies,,,Scottish business,,,M&A (Merge and Acquisitions),,,Stock Numbers,,,Employment,,,Art,,,Oil,,,Banking,,,Conflict,,,Brexit,,,Real Estate,,,Currency crisis,,,RAF base,,,Energy,,,Education,,,Football,,,Family,,,Farming,,,Transport,,,Retails,,,Leisure,,,Fishing industry,,,Inmigration,,,Tourism,,,Internet links,,,Whisky industry,,,Europe,,,Advertisement,,,unknown,,
Date,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion
Jan-98,11,9054,0.001214933,2,9054,0.000220897,6,9054,0.000662691,4,9054,0.000441794,2,9054,0.000220897,1,9054,0.000110448,2,9054,0.000220897,3,9054,0.000331345,5,9054,0.000552242,1,9054,0.000110448,0,9054,0,0,9054,0,0,9054,0,1,9054,0.000110448,0,9054,0,1,9054,0.000110448,2,9054,0.000220897,0,9054,0,0,9054,0,1,9054,0.000110448,0,9054,0,0,9054,0,4,9054,0.000441794,0,9054,0,1,9054,0.000110448,0,9054,0,0,9054,0,0,9054,0,0,9054,0,0,9054,0,0,9054,0,0,9054,0,0,9054,0,0,9054,0,0,9054,0,0,9054,0,0,9054,0,0,9054,0,0,9054,0,0,9054,0
Feb-98,10,7282,0.001373249,7,7282,0.000961274,5,7282,0.000686625,4,7282,0.0005493,2,7282,0.00027465,0,7282,0,1,7282,0.000137325,1,7282,0.000137325,2,7282,0.00027465,0,7282,0,0,7282,0,0,7282,0,1,7282,0.000137325,1,7282,0.000137325,0,7282,0,0,7282,0,0,7282,0,3,7282,0.000411975,0,7282,0,2,7282,0.00027465,0,7282,0,0,7282,0,2,7282,0.00027465,0,7282,0,0,7282,0,1,7282,0.000137325,1,7282,0.000137325,0,7282,0,0,7282,0,0,7282,0,0,7282,0,1,7282,0.000137325,0,7282,0,0,7282,0,0,7282,0,0,7282,0,0,7282,0,0,7282,0,0,7282,0,0,7282,0
Mar-98,5,10008,0.0004996,3,10008,0.00029976,1,10008,9.99201E-05,4,10008,0.00039968,4,10008,0.00039968,2,10008,0.00019984,2,10008,0.00019984,0,10008,0,2,10008,0.00019984,1,10008,9.99201E-05,0,10008,0,0,10008,0,2,10008,0.00019984,0,10008,0,0,10008,0,1,10008,9.99201E-05,0,10008,0,9,10008,0.000899281,0,10008,0,0,10008,0,0,10008,0,0,10008,0,1,10008,9.99201E-05,0,10008,0,0,10008,0,0,10008,0,2,10008,0.00019984,0,10008,0,1,10008,9.99201E-05,1,10008,9.99201E-05,0,10008,0,0,10008,0,0,10008,0,0,10008,0,0,10008,0,0,10008,0,0,10008,0,0,10008,0,0,10008,0,0,10008,0
Apr-98,14,9716,0.001440922,2,9716,0.000205846,7,9716,0.000720461,6,9716,0.000617538,4,9716,0.000411692,0,9716,0,4,9716,0.000411692,1,9716,0.000102923,2,9716,0.000205846,0,9716,0,1,9716,0.000102923,0,9716,0,2,9716,0.000205846,0,9716,0,0,9716,0,4,9716,0.000411692,2,9716,0.000205846,3,9716,0.000308769,0,9716,0,1,9716,0.000102923,0,9716,0,1,9716,0.000102923,2,9716,0.000205846,0,9716,0,0,9716,0,1,9716,0.000102923,1,9716,0.000102923,1,9716,0.000102923,2,9716,0.000205846,2,9716,0.000205846,1,9716,0.000102923,0,9716,0,0,9716,0,0,9716,0,0,9716,0,0,9716,0,0,9716,0,0,9716,0,0,9716,0,0,9716,0
May-98,5,11049,0.00045253,2,11049,0.000181012,13,11049,0.001176577,4,11049,0.000362024,4,11049,0.000362024,1,11049,9.05059E-05,7,11049,0.000633541,1,11049,9.05059E-05,0,11049,0,0,11049,0,5,11049,0.00045253,1,11049,9.05059E-05,0,11049,0,1,11049,9.05059E-05,0,11049,0,5,11049,0.00045253,1,11049,9.05059E-05,12,11049,0.001086071,0,11049,0,3,11049,0.000271518,0,11049,0,1,11049,9.05059E-05,8,11049,0.000724047,2,11049,0.000181012,0,11049,0,2,11049,0.000181012,0,11049,0,0,11049,0,1,11049,9.05059E-05,0,11049,0,0,11049,0,0,11049,0,0,11049,0,0,11049,0,0,11049,0,0,11049,0,0,11049,0,0,11049,0,0,11049,0,0,11049,0
Jun-98,10,10553,0.000947598,2,10553,0.00018952,4,10553,0.000379039,0,10553,0,3,10553,0.000284279,1,10553,9.47598E-05,4,10553,0.000379039,0,10553,0,1,10553,9.47598E-05,1,10553,9.47598E-05,4,10553,0.000379039,0,10553,0,0,10553,0,2,10553,0.00018952,0,10553,0,5,10553,0.000473799,2,10553,0.00018952,13,10553,0.001231877,0,10553,0,1,10553,9.47598E-05,0,10553,0,2,10553,0.00018952,3,10553,0.000284279,2,10553,0.00018952,1,10553,9.47598E-05,0,10553,0,0,10553,0,1,10553,9.47598E-05,2,10553,0.00018952,0,10553,0,0,10553,0,0,10553,0,0,10553,0,0,10553,0,0,10553,0,0,10553,0,0,10553,0,0,10553,0,0,10553,0,0,10553,0
Jul-98,11,10527,0.001044932,6,10527,0.000569963,6,10527,0.000569963,3,10527,0.000284981,4,10527,0.000379975,3,10527,0.000284981,17,10527,0.001614895,0,10527,0,0,10527,0,1,10527,9.49938E-05,0,10527,0,2,10527,0.000189988,0,10527,0,2,10527,0.000189988,0,10527,0,4,10527,0.000379975,2,10527,0.000189988,7,10527,0.000664957,0,10527,0,0,10527,0,0,10527,0,1,10527,9.49938E-05,0,10527,0,2,10527,0.000189988,0,10527,0,0,10527,0,1,10527,9.49938E-05,1,10527,9.49938E-05,1,10527,9.49938E-05,0,10527,0,1,10527,9.49938E-05,0,10527,0,1,10527,9.49938E-05,0,10527,0,0,10527,0,0,10527,0,0,10527,0,0,10527,0,0,10527,0,0,10527,0
Aug-98,12,13494,0.000889284,7,13494,0.000518749,8,13494,0.000592856,4,13494,0.000296428,5,13494,0.000370535,3,13494,0.000222321,3,13494,0.000222321,0,13494,0,6,13494,0.000444642,1,13494,7.4107E-05,4,13494,0.000296428,1,13494,7.4107E-05,0,13494,0,1,13494,7.4107E-05,0,13494,0,4,13494,0.000296428,2,13494,0.000148214,6,13494,0.000444642,1,13494,7.4107E-05,1,13494,7.4107E-05,0,13494,0,3,13494,0.000222321,1,13494,7.4107E-05,2,13494,0.000148214,0,13494,0,0,13494,0,1,13494,7.4107E-05,0,13494,0,3,13494,0.000222321,0,13494,0,0,13494,0,0,13494,0,0,13494,0,0,13494,0,0,13494,0,0,13494,0,0,13494,0,0,13494,0,0,13494,0,0,13494,0
